Game Turn, Mode, Player, Unit, Operation
Unit operation handler 8c676517, is disabled
228, Adding, 9, UNIT_BUILDER (1114118), UNITOPERATION_SKIP_TURN (36)
228, Adding, 11, UNIT_MAN_AT_ARMS (720902), UNITOPERATION_SWAP_UNITS (49)
228, Can't Start, 11, UNIT_MAN_AT_ARMS (720902), UNITOPERATION_SWAP_UNITS (49)
228, Adding, 11, UNIT_MAN_AT_ARMS (720902), UNITOPERATION_MOVE_TO (19)
228, Adding, 11, UNIT_TREBUCHET (786433), UNITOPERATION_SWAP_UNITS (49)
228, Can't Start, 11, UNIT_TREBUCHET (786433), UNITOPERATION_SWAP_UNITS (49)
228, Adding, 11, UNIT_TREBUCHET (786433), UNITOPERATION_MOVE_TO (19)
228, Adding, 11, UNIT_PIKEMAN (851975), UNITOPERATION_MOVE_TO (19)
228, Adding, 11, UNIT_BUILDER (655363), UNITOPERATION_SKIP_TURN (36)
228, Adding, 12, UNIT_CROSSBOWMAN (917504), UNITOPERATION_MOVE_TO (19)
228, Adding, 12, UNIT_BOMBARD (1114113), UNITOPERATION_MOVE_TO (19)
228, Adding, 12, UNIT_CROSSBOWMAN (1048583), UNITOPERATION_MOVE_TO (19)
228, Adding, 12, UNIT_BUILDER (589826), UNITOPERATION_SKIP_TURN (36)
228, Adding, 13, UNIT_PIKEMAN (851972), UNITOPERATION_MOVE_TO (19)
228, Adding, 13, UNIT_CROSSBOWMAN (786438), UNITOPERATION_MOVE_TO (19)
228, Adding, 14, UNIT_PIKEMAN (720902), UNITOPERATION_MOVE_TO (19)
228, Adding, 14, UNIT_GALLEY (327683), UNITOPERATION_MOVE_TO (19)
228, Adding, 14, UNIT_TREBUCHET (786433), UNITOPERATION_MOVE_TO (19)
228, Adding, 14, UNIT_BUILDER (458752), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_ARCHER (4325377), UNITOPERATION_MOVE_TO (19)
228, Can't Start, 63, UNIT_ARCHER (4325377), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_SCOUT (17104912), UNITOPERATION_SWAP_UNITS (49)
228, Can't Start, 63, UNIT_SCOUT (17104912), UNITOPERATION_SWAP_UNITS (49)
228, Adding, 63, UNIT_SCOUT (17104912), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_SPEARMAN (589832), UNITOPERATION_FORTIFY (12)
228, Can't Start, 63, UNIT_SPEARMAN (589832), UNITOPERATION_FORTIFY (12)
228, Adding, 63, UNIT_SPEARMAN (1769498), UNITOPERATION_FORTIFY (12)
228, Can't Start, 63, UNIT_SPEARMAN (1769498), UNITOPERATION_FORTIFY (12)
228, Adding, 63, UNIT_SPEARMAN (720906), UNITOPERATION_FORTIFY (12)
228, Can't Start, 63, UNIT_SPEARMAN (720906), UNITOPERATION_FORTIFY (12)
228, Adding, 63, UNIT_SPEARMAN (327684), UNITOPERATION_FORTIFY (12)
228, Adding, 63, UNIT_TREBUCHET (16449595), UNITOPERATION_RANGE_ATTACK (26)
228, Adding, 63, UNIT_TREBUCHET (16449595), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_MUSKETMAN (16973827), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_ARCHER (8323077), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_GALLEY (8454150), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_CROSSBOWMAN (17235987), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_QUADRIREME (4390936), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_MAN_AT_ARMS (15859747), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_QUADRIREME (5636132), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_MUSKETMAN (17170477), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_GALLEY (7405626), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_GALLEY (9633854), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_MUSKETMAN (16580674), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_MUSKETMAN (16318533), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_MUSKETMAN (16842824), UNITOPERATION_MOVE_TO (19)
228, Adding, 63, UNIT_BUILDER (9502729), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_SCOUT (9109522), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_BATTERING_RAM (16252951), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_BATTERING_RAM (15597598), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_BUILDER (16515110), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_GALLEY (11599911), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_SCOUT (7798828), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_SETTLER (17039420), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_BATTERING_RAM (16908351), UNITOPERATION_SKIP_TURN (36)
228, Adding, 63, UNIT_SETTLER (16711745), UNITOPERATION_SKIP_TURN (36)
229, Adding, 0, UNIT_ARCHER (1638405), UNITOPERATION_RANGE_ATTACK (26)
229, Adding, 0, UNIT_ARCHER (1638405), UNITOPERATION_RANGE_ATTACK (26)
229, Adding, 0, UNIT_GREAT_GENERAL (2949121), UNITOPERATION_MOVE_TO (19)
229, Adding, 0, UNIT_GREAT_GENERAL (2949121), UNITOPERATION_MOVE_TO (19)
229, Adding, 0, UNIT_GREAT_GENERAL (2949121), UNITOPERATION_MOVE_TO (19)
229, Adding, 0, UNIT_GREAT_GENERAL (2949121), UNITOPERATION_MOVE_TO (19)
229, Adding, 0, UNIT_NORWEGIAN_BERSERKER (2818059), UNITOPERATION_HEAL (13)
229, Adding, 0, UNIT_GREAT_GENERAL (2949121), UNITOPERATION_MOVE_TO (19)
229, Adding, 0, UNIT_GREAT_GENERAL (2949121), UNITOPERATION_MOVE_TO (19)
229, Adding, 0, UNIT_GREAT_GENERAL (2949121), UNITOPERATION_MOVE_TO (19)
229, Adding, 0, UNIT_NORWEGIAN_BERSERKER (2818059), UNITOPERATION_HEAL (13)
229, Adding, 1, UNIT_SPEARMAN (1769478), UNITOPERATION_MOVE_TO (19)
229, Adding, 1, UNIT_SPEARMAN (1769478), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_SETTLER (2949122), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_KNIGHT (2686983), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_BUILDER (2752516), UNITOPERATION_SWAP_UNITS (49)
229, Can't Start, 2, UNIT_BUILDER (2752516), UNITOPERATION_SWAP_UNITS (49)
229, Adding, 2, UNIT_BUILDER (2752516), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_BUILDER (2752516), UNITOPERATION_BUILD_IMPROVEMENT (2)
229, Adding, 2, UNIT_BUILDER (2883592), UNITOPERATION_SWAP_UNITS (49)
229, Can't Start, 2, UNIT_BUILDER (2883592), UNITOPERATION_SWAP_UNITS (49)
229, Adding, 2, UNIT_BUILDER (2883592), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_APOSTLE (2818053), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_GURU (2490374), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_APOSTLE (2818053), UNITOPERATION_SPREAD_RELIGION (38)
229, Can't Start, 2, UNIT_APOSTLE (2818053), UNITOPERATION_SPREAD_RELIGION (38)
229, Adding, 2, UNIT_SCOUT (524288), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_SCOUT (524288), UNITOPERATION_MOVE_TO (19)
229, Adding, 2, UNIT_SCOUT (524288), UNITOPERATION_SKIP_TURN (36)
229, Can't Start, 2, UNIT_APOSTLE (2818053), UNITOPERATION_SPREAD_RELIGION (38)
229, Adding, 3, UNIT_TRADER (393220), UNITOPERATION_MAKE_TRADE_ROUTE (18)
229, Can't Start, 3, UNIT_TRADER (393220), UNITOPERATION_MAKE_TRADE_ROUTE (18)
229, Adding, 3, UNIT_BUILDER (3145729), UNITOPERATION_BUILD_IMPROVEMENT (2)
229, Adding, 3, UNIT_BUILDER (3145729), UNITOPERATION_SWAP_UNITS (49)
229, Can't Start, 3, UNIT_BUILDER (3145729), UNITOPERATION_SWAP_UNITS (49)
229, Adding, 3, UNIT_BUILDER (3145729), UNITOPERATION_MOVE_TO (19)
229, Adding, 3, UNIT_APOSTLE (2752521), UNITOPERATION_MOVE_TO (19)
229, Adding, 3, UNIT_GURU (1638408), UNITOPERATION_MOVE_TO (19)
229, Adding, 3, UNIT_APOSTLE (3211264), UNITOPERATION_MOVE_TO (19)
229, Adding, 3, UNIT_MISSIONARY (3342341), UNITOPERATION_MOVE_TO (19)
229, Adding, 3, UNIT_MISSIONARY (3276806), UNITOPERATION_MOVE_TO (19)
229, Adding, 3, UNIT_APOSTLE (2752521), UNITOPERATION_SPREAD_RELIGION (38)
229, Can't Start, 3, UNIT_APOSTLE (2752521), UNITOPERATION_SPREAD_RELIGION (38)
229, Adding, 3, UNIT_GREAT_ADMIRAL (2424843), UNITOPERATION_MOVE_TO (19)
229, Adding, 3, UNIT_GREAT_ADMIRAL (2424843), UNITOPERATION_MOVE_TO (19)
229, Can't Start, 3, UNIT_TRADER (393220), UNITOPERATION_MAKE_TRADE_ROUTE (18)
229, Can't Start, 3, UNIT_APOSTLE (2752521), UNITOPERATION_SPREAD_RELIGION (38)
229, Adding, 4, UNIT_BOMBARD (2686982), UNITOPERATION_MOVE_TO (19)
229, Adding, 4, UNIT_BUILDER (2949129), UNITOPERATION_SWAP_UNITS (49)
229, Can't Start, 4, UNIT_BUILDER (2949129), UNITOPERATION_SWAP_UNITS (49)
229, Adding, 4, UNIT_BUILDER (2949129), UNITOPERATION_MOVE_TO (19)
229, Adding, 4, UNIT_MISSIONARY (3014657), UNITOPERATION_MOVE_TO (19)
229, Adding, 4, UNIT_MISSIONARY (2883592), UNITOPERATION_MOVE_TO (19)
229, Adding, 5, UNIT_BUILDER (1900545), UNITOPERATION_SWAP_UNITS (49)
229, Can't Start, 5, UNIT_BUILDER (1900545), UNITOPERATION_SWAP_UNITS (49)
229, Adding, 5, UNIT_BUILDER (1900545), UNITOPERATION_MOVE_TO (19)
